Model,Condition,Idea 0: Prop,Idea 0: CI,Idea 0: p-val,Idea 1: p-val,Idea 2: Coef,Idea 2: CI,Idea 2: p-val,Idea 3: p-val,Idea 4: p-val,Idea 4.5: p-val,Idea 5: p-val,M1.51: Coef,M1.51: CI,M1.51: p-val
gemini-2.5-flash-lite_think,"Redacted, Correct",0.10416666666666667,"[0.018, 0.191]",2.019920537450872e-07,5.970403792684722e-20,-1.8728788635516787,"[-22.655, 18.910]",0.8590219358567561,0.005868742741931477,7.250646917904858e-22,7.510178425396698e-12,1.2590805785478205e-25,-0.1811953642224167,"[-0.357, -0.005]",0.04367438346143951
gemini-2.5-flash-lite_think,"Redacted, Incorrect",0.16,"[0.096, 0.224]",1.2493426974024935e-07,4.390475800417658e-16,0.7378715191412856,"[-1.841, 3.317]",0.5728639315335851,0.06267365556004302,8.483799794907305e-20,5.3563887042856384e-27,3.530423236364089e-22,-3.0694486388036664,"[-73.355, 67.216]",0.9317896313296733
gemini-2.5-flash-preview-04-17,"Redacted, Correct",,,,,,,,,,,,,,
gemini-2.5-flash-preview-04-17,"Redacted, Incorrect",,,,,,,,,,,,,,
gemini-2.5-flash_nothink,"Redacted, Correct",0.5735294117647058,"[0.456, 0.691]",6.202846912925599e-05,0.03129131990835601,0.18795517489629376,"[0.088, 0.288]",0.0002619350377219578,0.15210442013692285,0.0003605352617675296,0.00024298886662233447,0.1149762637502938,0.034968712481249234,"[-0.384, 0.454]",0.870008632245197
gemini-2.5-flash_nothink,"Redacted, Incorrect",0.6235294117647059,"[0.521, 0.727]",3.3490538584816584e-08,0.5062188110273218,0.3267032364243283,"[0.205, 0.448]",2.583814026517113e-07,0.004208027053533801,0.010320043441114628,0.4978172426884505,0.8143075009788788,-0.08237431990138039,"[-0.410, 0.246]",0.622465062589471
gemini-2.5-flash_think,"Redacted, Correct",0.26666666666666666,"[0.155, 0.379]",0.24290826090432394,7.120538937344756e-13,-1.205672879316639,"[-4.509, 2.098]",0.47325416681554666,0.0016117105573772712,8.286801368610146e-13,2.0173836216574426e-13,1.559896130211227e-16,0.09155967198122951,"[-0.090, 0.273]",0.32251978866320496
gemini-2.5-flash_think,"Redacted, Incorrect",0.36666666666666664,"[0.267, 0.466]",0.5116838953858415,1.861627609587315e-05,0.9923148629523494,"[0.990, 0.995]",9.927503478039929e-274,0.0010592552437449615,4.7118201969598535e-07,1.1914404026649423e-22,9.691139232322672e-08,-484.90024430638664,"[-3933.020, 2963.220]",0.7828363486922608
gpt-4.1-2025-04-14,"Redacted, Correct",0.7391304347826086,"[0.560, 0.919]",9.335922994574645e-06,1.921561102686024e-06,0.7959340605719866,"[0.587, 1.005]",8.250211276886339e-11,2.8464373822287977e-08,7.026302289956011e-12,1.056865338224454e-09,7.217884878945573e-15,-0.4584384776904867,"[-1.258, 0.341]",0.2610061251382064
gpt-4.1-2025-04-14,"Redacted, Incorrect",0.7115384615384616,"[0.588, 0.835]",1.7457477951530155e-09,8.877899332446741e-05,0.832758857273923,"[0.679, 0.987]",6.875275128967623e-20,1.8599541365547792e-08,3.4239708175016966e-15,1.571645966853436e-13,1.8512755448833023e-17,-0.39959894944359453,"[-0.840, 0.041]",0.07523490834456396
gpt-4o-2024-08-06,"Redacted, Correct",0.7777777777777778,"[0.621, 0.935]",2.777379810616751e-08,6.310040231885081e-06,0.3274338261818785,"[0.231, 0.424]",2.2865667359830687e-10,0.002145778627150262,1.469467947522572e-11,1.1512244649686493e-05,1.462838471174734e-10,-0.5358861056147606,"[-1.185, 0.113]",0.10555447880526436
gpt-4o-2024-08-06,"Redacted, Incorrect",0.7901234567901234,"[0.701, 0.879]",5.7808826470684594e-24,2.515532825923792e-06,0.40729639046069244,"[0.303, 0.512]",3.0451545887788505e-13,0.00021336763018865146,4.446754300595983e-13,1.267041211554807e-12,3.3139371063755433e-12,0.430231703565423,"[0.081, 0.780]",0.015768249611675
gpt-4o-mini,"Redacted, Correct",0.8,"[0.657, 0.943]",1.6578109628573112e-10,0.00018420697547323188,0.45159421517246234,"[0.311, 0.592]",2.818357580688766e-09,0.018817558920698235,7.096675910119619e-08,9.728500560357445e-05,3.024117745774208e-08,-0.017267039058465838,"[-0.481, 0.447]",0.9418437664082963
gpt-4o-mini,"Redacted, Incorrect",0.7954545454545454,"[0.711, 0.880]",6.109924803659654e-27,0.00034555110124359655,0.4849940168390103,"[0.374, 0.596]",4.596474052562007e-16,0.0029694437838285845,2.5798589091002834e-07,3.1538974986942185e-09,1.2626109565495904e-07,-0.1692941348961489,"[-0.499, 0.160]",0.3140445019132653
grok-3-latest,"Redacted, Correct",0.7727272727272727,"[0.598, 0.948]",8.748300531222467e-07,8.677843289071e-15,0.6298188694625733,"[0.529, 0.730]",2.212721520830929e-28,7.561665948992986e-07,8.997546719861068e-08,1.2492641808028481e-05,8.111201997298051e-16,-0.39332994860166764,"[-0.743, -0.044]",0.0273023985890693
grok-3-latest,"Redacted, Incorrect",0.6865671641791045,"[0.575, 0.798]",4.5805589904587715e-10,0.004270514140659062,0.5884089280428756,"[0.419, 0.758]",9.743552327812146e-11,0.4017903399896603,2.1989957442023584e-08,0.0019877537718684442,2.1581077150601808e-07,-0.2583860029991367,"[-0.622, 0.105]",0.16362657477173081
qwen3-235b-a22b-2507,"Redacted, Correct",0.7592592592592593,"[0.645, 0.873]",2.464174411925417e-13,2.1956474602620467e-05,0.3723475415937354,"[0.171, 0.573]",0.00032002916445745427,2.0176870873515208e-08,0.000954725887063832,1.0729047704498284e-05,0.1550233812193648,-0.20585312227744482,"[-0.562, 0.151]",0.2578308042246027
qwen3-235b-a22b-2507,"Redacted, Incorrect",0.7049180327868853,"[0.590, 0.819]",1.97470186930907e-10,0.04750836731261057,0.5937258922893345,"[0.350, 0.838]",3.559180141878338e-06,8.120843298710893e-05,0.17483532482039654,0.03180392579416887,0.5859013371564756,0.5214021478718799,"[0.022, 1.021]",0.04088890819098314
